"Day","Meeting Time","Group Name","Location Name","Address","City"
"Sunday","7:00pm","2nd Sunday Womens Meeting","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Sunday","7:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Sunday","7:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Sunday","8:00pm","Apex Group","Apex Masonic Lodge","408 E williams st","Apex"
"Sunday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","8:30am","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","9:00am","Pickles in the Park Meeting","Umstead Park - Reedy Creek Entrance","1800 N. Harrison Ave","Cary"
"Sunday","10:00am","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","11:30am","Be Still ... Mid-Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","11:30am","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","1:00pm","Spiritual Healings Group","Hope Community Church","821 Buck Jones Rd","Cary"
"Sunday","6:30pm","Common Sense","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","6:30pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","8:00pm","Cary Big Book Study Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","8:00pm","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","9:30pm","Lava Lamp Group","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","10:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Sunday","12:00pm","Acceptance Group","111 Lee Court - Clayton","111 Lee Court","Clayton"
"Sunday","4:00pm","Sisters of Sobriety","111 Lee Court - Clayton","111 Lee Court","Clayton"
"Sunday","7:00pm"," 11th Step Prayer and Meditation Meeting","111 Lee Court - Clayton","111 Lee Court","Clayton"
"Sunday","7:00pm","Sober Solutions","Lakewood United Methodist Church","2317 Chapel Hill Road","Durham"
"Sunday","7:00pm","Not A Glum Lot","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Sunday","8:15am","Hope of Fuquay","American Legion Lodge # 116","6400 Johnson Pond Road","Fuquay-Varina"
"Sunday","6:00pm","Willow Springs Group","First United Methodist Church","402 N. Main St.","Fuquay-Varina"
"Sunday","7:15pm","Willow Springs Group","First United Methodist Church","402 N. Main St.","Fuquay-Varina"
"Sunday","9:00am","Promises Of A New Beginning Group","Garner Women's Club","230 US Hwy 70 W ","Garner"
"Sunday","7:00pm","Experience Strength And Hope","Triangle Baptist Church","9713 Old Stage Road","Garner"
"Sunday","9:30am","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Sunday","8:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Sunday","8:00pm","Louisburg 12 Step Group","Louisburg Baptist Church","302 North Main St.","Louisburg"
"Sunday","12:00am","Oasis Group","panera","7 Forks Rd","raleigh"
"Sunday","7:30am","Life of New Beginnings","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Sunday","9:00am","Came to Believe Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Sunday","11:00am","11th Step at 11 Group","The Healing Place of Wake County (Men's Healing Place)","1251 Goode St","Raleigh"
"Sunday","11:00am","Spiritual Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Sunday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Sunday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Sunday","2:00pm","Hills Group","St Timothy's Episcopal Church","4523 Six Forks Rd.","Raleigh"
"Sunday","4:30pm","Chase'n Sobriety Group","Lennox Chase Apartments","2534 Lake Wheeler Rd.","Raleigh"
"Sunday","5:00pm","Weekender's Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Sunday","5:30pm","Lambda Group","St John's Metropolitan Comm. Church","805 Glenwood Ave.","Raleigh"
"Sunday","6:00pm","Children of Chaos","Intergroup Office"," 3948 Browning Place - Room 347","Raleigh"
"Sunday","6:00pm","Sobriety First","Jenkins Memorial Methodist Church","725 N. Boylan Ave.","Raleigh"
"Sunday","7:00pm","None","Raleigh Rescue Mission","314 East Hargett Street","Raleigh"
"Sunday","7:00pm","Spring Forest Recovery Group","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Sunday","8:00pm","2nd Sunday Womens Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Sunday","8:00pm","Agnostics and Others","Unitarian Universalist Fellowship of Raleigh","3313 Wade Avenue","Raleigh"
"Sunday","8:00pm","Longview Group","Milner Memorial Presbyterian Church","1950 New Bern Ave.","Raleigh"
"Sunday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Sunday","8:00pm","Valley Group","St Giles Presbyterian Church","5101 Oak Park Rd.","Raleigh"
"Sunday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Sunday","8:00pm","Westminster Group","Westminister Presbyterian Church","301 East Whitaker Mill Rd.","Raleigh"
"Sunday","8:00pm","Zebulon Group","Zebulon Methodist Church","118 W. Sycamore St.","Zebulon"
"Monday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Monday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Monday","12:00pm","One Noon at a Time Group","Triangle Community Church","4216 Kildare Farm Rd","Apex"
"Monday","6:00pm","Arch to Freedom Group","Apex United Methodist Church - Fellowship Hall #2","100 S Hughes St","Apex"
"Monday","8:00pm","Holly Springs Group","Triangle Community Church","4216 Kildare Farm Rd","Apex"
"Monday","7:00pm","The Monday Night "Bunners"","Bunn United Methodist Church, Fellowship Hall","200 Main Street","Bunn"
"Monday","6:05am","Eye-Opener","Hope Community Church","821 Buck Jones Rd","Cary"
"Monday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Monday","9:00am","Be Still ... Mid-Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Monday","12:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Monday","6:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Monday","6:45pm","Womens Steps to Serenity","1st Reformed Church of Cary ","555 SW Maynard Road","Cary"
"Monday","7:00pm","Regla #62","Triangle Alano Club","177 High House Rd.","Cary"
"Monday","7:30pm","From Fear to Faith Group","St. Francis Methodist Church","2965 Kildaire Farm Rd","Cary"
"Monday","8:00pm","Cary 12 Step Group","St Pauls Episcopal Church","221 Union St.","Cary"
"Monday","8:00pm","Maynard Road Group","Greenwood Forest Baptist Church","110 Se Maynard Rd.","Cary"
"Monday","10:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Monday","7:00pm","Reaching Out Group","New Hope Freewill Baptist Church","700 West Stalling St.","Clayton"
"Monday","12:00pm","RTP Lunch Bunch","","5117 S. Miami Blvd.","Durham"
"Monday","6:30am","Sunrise Surrender","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Monday","8:00pm","Franklinton Evergreen Group","Franklinton Baptist Church","102 West Mason St.","Franklinton"
"Monday","8:00pm","Living Sober Group","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Monday","8:00pm","Lakeside Group","First Presbyterian Church-Garner","503 Lakeside Dr.","Garner"
"Monday","12:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Monday","5:30pm","New Start Group","Church of the Holy Innocents","210 S. Chestnut St","Henderson"
"Monday","8:00pm","Knightdale Group","Knightdale United Methodist Church","7071 Forestville Road","Knightdale"
"Monday","12:00pm"," 11th Step Prayer and Meditation Meeting","Crossroads Church","1301 S Main Street","Lillington"
"Monday","8:00pm","New Life Group","Saint Albans Episcopal Church","300 Mosby Ave","Littleton"
"Monday","6:30am","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Monday","7:30am","Daily Reprieve","St. Francis of Assisi Catholic Church","11401 Leesville Rd","Raleigh"
"Monday","8:30am","Rise and Shine","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Monday","10:30am","Early Risers Group","Longview Methodist Church","2312 Milburnie Rd.","Raleigh"
"Monday","12:00pm","11th Step at 11 Group","Hayes Barton Baptist Church","1800 Glenwood ave","Raleigh"
"Monday","12:00pm","BY THE BOOK","Hayes Barton Baptist Church","1800 Glenwood ave","Raleigh"
"Monday","12:00pm","First Things First Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Monday","12:00pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Monday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Monday","12:30pm","Oasis Group","St Andrews Presbyterian Church","7506 Falls of the Neuse Rd","Raleigh"
"Monday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Monday","5:30pm","Happy Hour Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Monday","5:45pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Monday","6:00pm","Jenkins Group","Jenkins Memorial Methodist Church","725 N. Boylan Ave.","Raleigh"
"Monday","6:30pm","2001 Group","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Monday","6:30pm","Multiple","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Monday","6:30pm","Women's Group","Greystone Baptist Church","7509 Leadmine Rd.","Raleigh"
"Monday","7:00pm"," 11th Step Prayer and Meditation Meeting","Holy Trinity Lutheran Church","2723 Clark Ave.","Raleigh"
"Monday","7:00pm","Gratitude Study Group","First Baptist Church","99 N Salisbury St","Raleigh"
"Monday","7:00pm","Hayes Barton Group","White Memorial Presbyterian Church","1704 Oberlin Rd","Raleigh"
"Monday","8:00pm","Agnostics and Others","Unitarian Universalist Fellowship of Raleigh","3313 Wade Avenue","Raleigh"
"Monday","8:00pm","Brickhouse Group","Greystone Baptist Church","7509 Leadmine Rd.","Raleigh"
"Monday","8:00pm","Fairview Road Group","Ridge Road Baptist Church","2011 Ridge Road","Raleigh"
"Monday","8:00pm","Fellowship Group","Christ Episcopal Church","120 E. Edenton St.","Raleigh"
"Monday","8:00pm","Hayes Barton Group","White Memorial Presbyterian Church","1704 Oberlin Rd","Raleigh"
"Monday","8:00pm","Millbrook Step Study Group","Millbrook United Methodist Church","1712 E. Millbrook Rd.","Raleigh"
"Monday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Monday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Monday","8:00pm","Way of Life Group","First Presbyterian Church-Raleigh","124 S. Salisbury Street","Raleigh"
"Monday","12:00pm","Wake Forest Nooners","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Monday","8:00pm","Mitchell Mill Group","Grace Assembly","2405 Waite Ave","Wake Forest"
"Tuesday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Tuesday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Tuesday","12:00pm","The Steps We Took","Apex Masonic Lodge","408 E williams st","Apex"
"Tuesday","8:00pm","Green Level Group","Green Level Baptist Church","8509 Green Level Church Rd.","Apex"
